"name","parent_name","country"
"1S-Interes","1S-Interes LLP","Kazakhstan"
"Beliy Veter","Beliy Veter LLP","Kazakhstan"
"1С-Интерес","1S-Interes LLP","Kazakhstan"
"Белый Ветер","Beliy Veter LLP","Kazakhstan"
"Logycom","Logycom LLP","Kazakhstan"
"iPoint","iPoint LLP","Kazakhstan"
"Technodom","Technodom LLP","Kazakhstan"
"RM Dream World Company Investments LTD","RM Dream World Company Investments LTD","Cyprus"
"1S-Interes LLP","1S-Interes LLP","Kazakhstan"
"Beliy Veter LLP","Beliy Veter LLP","Kazakhstan"
"Detskiy Mir","Detskiy Mir","Kazakhstan"
"iPoint LLP","iPoint LLP","Kazakhstan"
"Line LLP","Line LLP","Kazakhstan"
"Logycom LLP","Logycom LLP","Kazakhstan"
"Meloman Home Video LLP","Meloman Home Video LLP","Kazakhstan"
"M-Media","M-Media","Kazakhstan"
"Technodom LLP","Technodom LLP","Kazakhstan"
"Unicode LLP","Unicode LLP","Kazakhstan"
"CHS Hungary kft","CHS Hungary kft","Hungary"
"Compmarket Hungary ZRt","Compmarket Hungary ZRt","Hungary"
"Computer Emporium Kft","Computer Emporium Kft","Hungary"
"Dot-Compker kft","Dot-Compker kft","Hungary"
"Fabex Bt","Fabex Bt","Hungary"
"Ipon Computer Kft","Ipon Computer Kft","Hungary"
"JTC Kft","JTC Kft","Hungary"
"Multimedia Tower Kft","Multimedia Tower Kft","Hungary"
"Procomp kft","Procomp kft","Hungary"
"CHS Hungary Kft.","CHS Hungary kft","Hungary"
"CompMarket Hungary Zrt.","Compmarket Hungary ZRt","Hungary"
"Computer Emporium Kft.","Computer Emporium Kft","Hungary"
"Demand.hu Kft.","Demand.hu Kft.","Hungary"
"Digitaltrend Számítástechnika Kft.","Digitaltrend Számítástechnika Kft.","Hungary"
"Dot-Compker Kft.","Dot-Compker kft","Hungary"
"Erem-Világ Kft.","Erem-Világ Kft.","Hungary"
"Fabex Bt.","Fabex Bt","Hungary"
"Flexibile Bt.","Flexibile Bt.","Hungary"
"Interval Holidays Naturair Utazási Iroda","Interval Holidays Naturair Utazási Iroda","Hungary"
"Ipon Computer Kft.","Ipon Computer Kft","Hungary"
"JTC Kft.","JTC Kft","Hungary"
"K&H 97 Bt.","K&H 97 Bt.","Hungary"
"Magicomp","Magicomp","Hungary"
"Multimedia Tower Kft.","Multimedia Tower Kft","Hungary"
"Murepox Kft.","Murepox Kft.","Hungary"
